cif_filename,formula,space_group,n_atoms,n_Co,n_Bi
Co8_Bi4_m2_n1_z4_sg126_trial000_eaeb893916.cif,Co8Bi4,126,12,8,4
Co8_Bi4_m2_n1_z4_sg129_trial000_6687db93bb.cif,Co8Bi4,129,12,8,4
Co8_Bi4_m2_n1_z4_sg130_trial000_4e8d00546a.cif,Co8Bi4,130,12,8,4
Co8_Bi4_m2_n1_z4_sg122_trial000_f583f9e612.cif,Co8Bi4,122,12,8,4
Co8_Bi4_m2_n1_z4_sg133_trial000_664886041f.cif,Co8Bi4,133,12,8,4
Co8_Bi4_m2_n1_z4_sg131_trial000_ac4882903a.cif,Co8Bi4,131,12,8,4
Co8_Bi4_m2_n1_z4_sg106_trial000_3110331c91.cif,Co8Bi4,106,12,8,4
Co8_Bi4_m2_n1_z4_sg140_trial000_2745f410d0.cif,Co8Bi4,140,12,8,4
Co8_Bi4_m2_n1_z4_sg139_trial000_b5e38eda44.cif,Co8Bi4,139,12,8,4
Co8_Bi4_m2_n1_z4_sg147_trial000_7e4d151556.cif,Co8Bi4,147,12,8,4
Co8_Bi4_m2_n1_z4_sg157_trial000_8523361929.cif,Co8Bi4,157,12,8,4
Co8_Bi4_m2_n1_z4_sg159_trial000_9ea7a0f92e.cif,Co8Bi4,159,12,8,4
Co8_Bi4_m2_n1_z4_sg141_trial000_014f627882.cif,Co8Bi4,141,12,8,4
Co8_Bi4_m2_n1_z4_sg149_trial000_c32179b293.cif,Co8Bi4,149,12,8,4
Co8_Bi4_m2_n1_z4_sg163_trial000_7b02b2a766.cif,Co8Bi4,163,12,8,4
Co8_Bi4_m2_n1_z4_sg176_trial000_6852b4673f.cif,Co8Bi4,176,12,8,4
Co8_Bi4_m2_n1_z4_sg184_trial000_31b263c0f4.cif,Co8Bi4,184,12,8,4
Co8_Bi4_m2_n1_z4_sg177_trial000_12996a69ec.cif,Co8Bi4,177,12,8,4
Co8_Bi4_m2_n1_z4_sg183_trial000_1926a9fff2.cif,Co8Bi4,183,12,8,4
Co8_Bi4_m2_n1_z4_sg185_trial000_b3e0b5b35e.cif,Co8Bi4,185,12,8,4
Co8_Bi4_m2_n1_z4_sg188_trial000_c57eab2392.cif,Co8Bi4,188,12,8,4
Co8_Bi4_m2_n1_z4_sg164_trial000_46deda7cc2.cif,Co8Bi4,164,12,8,4
Co8_Bi4_m2_n1_z4_sg189_trial000_b94213c934.cif,Co8Bi4,189,12,8,4
Co8_Bi4_m2_n1_z4_sg175_trial000_c345db1366.cif,Co8Bi4,175,12,8,4
Co8_Bi4_m2_n1_z4_sg192_trial000_4f2b5c79d4.cif,Co8Bi4,192,12,8,4
Co8_Bi4_m2_n1_z4_sg196_trial000_b0669d5beb.cif,Co8Bi4,196,12,8,4
Co8_Bi4_m2_n1_z4_sg198_trial000_3d2ef89731.cif,Co8Bi4,198,12,8,4
Co8_Bi4_m2_n1_z4_sg200_trial000_8c41854ca6.cif,Co8Bi4,200,12,8,4
Co8_Bi4_m2_n1_z4_sg201_trial000_8ce34be372.cif,Co8Bi4,201,12,8,4
Co8_Bi4_m2_n1_z4_sg195_trial000_d20ea28346.cif,Co8Bi4,195,12,8,4
Co8_Bi4_m2_n1_z4_sg208_trial000_63b1530917.cif,Co8Bi4,208,12,8,4
Co8_Bi4_m2_n1_z4_sg205_trial000_d68907b610.cif,Co8Bi4,205,12,8,4
Co8_Bi4_m2_n1_z4_sg209_trial000_f7d9f20f8f.cif,Co8Bi4,209,12,8,4
Co8_Bi4_m2_n1_z4_sg202_trial000_1c6bfb4e41.cif,Co8Bi4,202,12,8,4
Co8_Bi4_m2_n1_z4_sg213_trial000_77d0fd36e7.cif,Co8Bi4,213,12,8,4
Co8_Bi4_m2_n1_z4_sg216_trial000_562f27ceb6.cif,Co8Bi4,216,12,8,4
Co8_Bi4_m2_n1_z4_sg215_trial000_d8720bb8f4.cif,Co8Bi4,215,12,8,4
Co8_Bi4_m2_n1_z4_sg207_trial000_975eb4d706.cif,Co8Bi4,207,12,8,4
Co8_Bi4_m2_n1_z4_sg225_trial000_dcf6f5c224.cif,Co8Bi4,225,12,8,4
Co2_Bi3_m2_n3_z1_sg006_trial000_df184c5064.cif,Co2Bi3,6,5,2,3
Co2_Bi3_m2_n3_z1_sg016_trial000_448ca40bb7.cif,Co2Bi3,16,5,2,3
Co2_Bi3_m2_n3_z1_sg075_trial000_7f1a4ed137.cif,Co2Bi3,75,5,2,3
Co2_Bi3_m2_n3_z1_sg081_trial000_9aeabc31d7.cif,Co2Bi3,81,5,2,3
Co2_Bi3_m2_n3_z1_sg157_trial000_ebf6076aef.cif,Co2Bi3,157,5,2,3
Co2_Bi3_m2_n3_z1_sg156_trial000_d3d55d29b7.cif,Co2Bi3,156,5,2,3
Co2_Bi3_m2_n3_z1_sg168_trial000_b911a3c91a.cif,Co2Bi3,168,5,2,3
Co2_Bi3_m2_n3_z1_sg177_trial000_491c5e2cfe.cif,Co2Bi3,177,5,2,3
Co2_Bi3_m2_n3_z1_sg175_trial000_08c9821bd9.cif,Co2Bi3,175,5,2,3
Co2_Bi3_m2_n3_z1_sg174_trial000_9cdd6db355.cif,Co2Bi3,174,5,2,3
Co2_Bi3_m2_n3_z1_sg162_trial000_51c8e07649.cif,Co2Bi3,162,5,2,3
Co2_Bi3_m2_n3_z1_sg183_trial000_a460592b78.cif,Co2Bi3,183,5,2,3
Co2_Bi3_m2_n3_z1_sg164_trial000_997fd3ae16.cif,Co2Bi3,164,5,2,3
Co2_Bi3_m2_n3_z1_sg195_trial000_1876fcb861.cif,Co2Bi3,195,5,2,3
Co2_Bi3_m2_n3_z1_sg200_trial000_7a6880e6fc.cif,Co2Bi3,200,5,2,3
Co2_Bi3_m2_n3_z1_sg207_trial000_fb2a65cafa.cif,Co2Bi3,207,5,2,3
Co2_Bi3_m2_n3_z1_sg215_trial000_4a2110f368.cif,Co2Bi3,215,5,2,3
Co2_Bi3_m2_n3_z1_sg221_trial000_7084d0f66a.cif,Co2Bi3,221,5,2,3
Co4_Bi6_m2_n3_z2_sg004_trial000_e229021398.cif,Co4Bi6,4,10,4,6
Co4_Bi6_m2_n3_z2_sg001_trial000_835a736a35.cif,Co4Bi6,1,10,4,6
