"candidate_id","target_system","formula","source_system","source_formula","source_material_id","prototype_label","n_atoms","initial_file_path"
"cobi_pyxtal_00085","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_158_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg158_trial000_70a0c1d985.cif"
"cobi_pyxtal_00086","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_162_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg162_trial000_2269ccc32e.cif"
"cobi_pyxtal_00087","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_164_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg164_trial000_9e1a21bc21.cif"
"cobi_pyxtal_00088","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_173_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg173_trial000_319762b885.cif"
"cobi_pyxtal_00089","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_111_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg111_trial000_4f9acdf39f.cif"
"cobi_pyxtal_00090","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_182_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg182_trial000_031a0d394d.cif"
"cobi_pyxtal_00091","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_176_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg176_trial000_57df0d441e.cif"
"cobi_pyxtal_00092","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_174_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg174_trial000_886ab29d50.cif"
"cobi_pyxtal_00093","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_143_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg143_trial000_7cd420cd7c.cif"
"cobi_pyxtal_00094","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_186_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg186_trial000_cb935affd6.cif"
"cobi_pyxtal_00095","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_188_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg188_trial000_1d5aa54cbd.cif"
"cobi_pyxtal_00096","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_191_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg191_trial000_1f10179fd4.cif"
"cobi_pyxtal_00097","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_192_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg192_trial000_918910f129.cif"
"cobi_pyxtal_00098","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_194_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg194_trial000_5a08b2cf19.cif"
"cobi_pyxtal_00099","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_3_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg003_trial000_e991c65a67.cif"
"cobi_pyxtal_00100","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_6_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg006_trial000_e20715bd2a.cif"
"cobi_pyxtal_00101","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_1_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg001_trial000_5ba43611e1.cif"
"cobi_pyxtal_00102","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_75_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg075_trial000_0d39718986.cif"
"cobi_pyxtal_00103","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_83_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg083_trial000_abdb5bc809.cif"
"cobi_pyxtal_00104","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_89_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg089_trial000_32c40d31ec.cif"
"cobi_pyxtal_00105","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_99_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg099_trial000_c633364371.cif"
"cobi_pyxtal_00106","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_111_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg111_trial000_6787264230.cif"
"cobi_pyxtal_00107","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_115_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg115_trial000_34bd13a0ed.cif"
"cobi_pyxtal_00108","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_123_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg123_trial000_8f61bbd2c0.cif"
"cobi_pyxtal_00109","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_144_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg144_trial000_34fc6c5fba.cif"
"cobi_pyxtal_00110","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_145_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg145_trial000_1ec4ad4423.cif"
"cobi_pyxtal_00111","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_146_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg146_trial000_bed91b7b0c.cif"
"cobi_pyxtal_00112","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_148_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg148_trial000_ed1fd77fc9.cif"
"cobi_pyxtal_00113","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_143_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg143_trial000_0f44709259.cif"
"cobi_pyxtal_00114","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_152_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg152_trial000_9418b0dbe8.cif"
"cobi_pyxtal_00115","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_157_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg157_trial000_8b76872ef7.cif"
"cobi_pyxtal_00116","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_154_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg154_trial000_352c9eef1d.cif"
"cobi_pyxtal_00117","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_150_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg150_trial000_9a69ea5a81.cif"
"cobi_pyxtal_00118","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_162_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg162_trial000_f856ebc050.cif"
"cobi_pyxtal_00119","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_164_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg164_trial000_5892759724.cif"
"cobi_pyxtal_00120","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_166_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg166_trial000_9fa5c5400c.cif"
"cobi_pyxtal_00121","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_168_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg168_trial000_0974b16639.cif"
"cobi_pyxtal_00122","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_171_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg171_trial000_c8f0730bac.cif"
"cobi_pyxtal_00123","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_174_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg174_trial000_fec7534cb8.cif"
"cobi_pyxtal_00124","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_180_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg180_trial000_5debcf645a.cif"
"cobi_pyxtal_00125","Co-Bi","Co3Bi3","Co-Bi","Co1Bi1","","pyxtal_random_sg_181_z_3","6","data/candidates/Co-Bi/Co3_Bi3_m1_n1_z3_sg181_trial000_4272851ec7.cif"
