material_id,formula_pretty,chemsys,spacegroup_number,nsites,volume,density,formation_energy_per_atom,energy_above_hull,band_gap,total_magnetization,magnetic_ordering,is_stable,volume_per_atom,composition_A_fraction,cs_Cubic,cs_Hexagonal,cs_Monoclinic,cs_Orthorhombic,cs_Tetragonal,cs_Triclinic,cs_Trigonal
mp-1245099,CoO2,Co-O,1,90,1148.6843334961923,3.9435411199993453,-0.34032196800000003,0.732110692,0.13419999999999901,75.9999998,2,0,12.763159261068804,0.3333333333333333,0,0,0,0,0,1,0
mp-1245119,CoO2,Co-O,1,90,1196.1805942140124,3.786956522244683,-0.48400639300000003,0.588426267000001,0.02,77.9998525,2,0,13.290895491266806,0.3333333333333333,0,0,0,0,0,1,0
mp-1272680,CoO2,Co-O,12,12,135.1072028850371,4.470409478608143,-1.058268314166666,0.014164345833335002,1.2544,0.008284,3,1,11.258933573753092,0.3333333333333333,0,0,1,0,0,0,0
mp-1272749,CoO2,Co-O,166,6,91.87853330448169,3.286864181886336,-0.9527355033333351,0.11969715666666601,0.0,1.999965,1,0,15.313088884080281,0.3333333333333333,0,0,0,0,0,0,1
mp-1275937,CoO2,Co-O,194,12,132.48253557675167,4.558974643534011,-0.9759310266666691,0.096501633333332,0.0,9.420000000000004e-05,3,0,11.040211298062639,0.3333333333333333,0,1,0,0,0,0,0
mp-1278455,CoO2,Co-O,2,12,134.99703109462388,4.474057803405697,-1.0599715175,0.012461142500001,0.838499999999999,8.2765807,2,1,11.249752591218657,0.3333333333333333,0,0,0,0,0,1,0
mp-1278937,CoO2,Co-O,141,12,126.98387973885814,4.756387359148226,-1.015104255,0.057328405000000006,0.9448000000000001,0.0014563,3,0,10.581989978238179,0.3333333333333333,0,0,0,0,1,0,0
mp-1281832,CoO2,Co-O,15,6,103.50553984445028,2.9176434484240192,-0.9991842650000001,0.07324839500000101,1.026399999999999,2.000123,1,0,17.25092330740838,0.3333333333333333,0,0,1,0,0,0,0
mp-1344053,CoO2,Co-O,62,24,236.6150919489178,5.10520707221749,-1.04716461125,0.025268048749999,0.0125,8.0035053,1,1,9.858962164538243,0.3333333333333333,0,0,0,1,0,0,0
mp-1349907,CoO2,Co-O,8,48,516.7725612771,4.675051004355778,-0.8911470662500001,0.181285593750001,0.0,30.7182459,2,0,10.76609502660625,0.3333333333333333,0,0,1,0,0,0,0
