cif_filename,formula,m,n,z,space_group,trial,seed,n_Co,n_Bi,n_atoms,volume,density,packing_fraction,min_CoCo,min_BiBi,min_CoBi,fingerprint
Co3_Bi3_m1_n1_z3_sg003_trial000_e991c65a67.cif,Co3Bi3,1,1,3,3,0,323262099,3,3,6,369.826037,3.608840,0.190466,2.438787,3.451170,2.790000,e991c65a67af0bce17dd2a8aa791da28ee1afccd
Co3_Bi3_m1_n1_z3_sg006_trial000_e20715bd2a.cif,Co3Bi3,1,1,3,6,0,1312125695,3,3,6,290.204237,4.598978,0.242724,2.837129,2.587740,2.790000,e20715bd2a68b1f039f04500574e2bd39d56c880
Co3_Bi3_m1_n1_z3_sg001_trial000_5ba43611e1.cif,Co3Bi3,1,1,3,1,0,2311813461,3,3,6,433.413667,3.079374,0.162522,2.713791,2.654418,2.790000,5ba43611e16b076bb3e702909260728470cfebc3
Co3_Bi3_m1_n1_z3_sg075_trial000_0d39718986.cif,Co3Bi3,1,1,3,75,0,2820295464,3,3,6,298.101814,4.477138,0.236293,3.944590,3.944590,2.790000,0d397189866a7c3c0b6347b63b8b83b6b06c99aa
Co3_Bi3_m1_n1_z3_sg083_trial000_abdb5bc809.cif,Co3Bi3,1,1,3,83,0,3762473981,3,3,6,286.615010,4.656570,0.245763,4.541506,2.788862,2.790000,abdb5bc80923e7ba0654108a2b28d50fefb623c6
Co3_Bi3_m1_n1_z3_sg089_trial000_32c40d31ec.cif,Co3Bi3,1,1,3,89,0,2831219922,3,3,6,579.177270,2.304377,0.121620,2.985903,3.945656,2.790000,32c40d31ec7de55f83ebb81f73fbeabe44973156
Co3_Bi3_m1_n1_z3_sg099_trial000_c633364371.cif,Co3Bi3,1,1,3,99,0,2290450403,3,3,6,411.800768,3.240992,0.171052,3.879955,3.971893,2.790000,c6333643718fdc38589035915327cd6751718106
Co3_Bi3_m1_n1_z3_sg111_trial000_6787264230.cif,Co3Bi3,1,1,3,111,0,2527237624,3,3,6,437.958839,3.047416,0.160836,3.153502,4.292057,2.790000,678726423046c60548efc17bd6c8d5221bbd21c4
Co3_Bi3_m1_n1_z3_sg115_trial000_34bd13a0ed.cif,Co3Bi3,1,1,3,115,0,2738364449,3,3,6,524.377278,2.545196,0.134330,2.790000,5.048449,2.790000,34bd13a0eda08a6ef8ed23bb2b03b2b57858ee12
Co3_Bi3_m1_n1_z3_sg123_trial000_8f61bbd2c0.cif,Co3Bi3,1,1,3,123,0,2501115688,3,3,6,179.161924,7.449367,0.393161,2.790000,3.976313,2.790000,8f61bbd2c0a62c412687dc57993abe0237e484b5
Co3_Bi3_m1_n1_z3_sg144_trial000_34fc6c5fba.cif,Co3Bi3,1,1,3,144,0,1433270714,3,3,6,453.740418,2.941424,0.155242,5.547646,4.133112,2.790000,34fc6c5fba7e9fe35e4d925e08ec73334ca5a564
Co3_Bi3_m1_n1_z3_sg145_trial000_1ec4ad4423.cif,Co3Bi3,1,1,3,145,0,209286530,3,3,6,254.677009,5.240532,0.276583,2.820421,4.040167,2.790000,1ec4ad4423b96c498f6be58ed99954eba843567f
Co3_Bi3_m1_n1_z3_sg146_trial000_bed91b7b0c.cif,Co3Bi3,1,1,3,146,0,130680182,3,3,6,163.177107,8.179107,0.431674,4.003804,4.003804,2.790000,bed91b7b0cdcbc0ec9e337b3bb4b9d2709760feb
Co3_Bi3_m1_n1_z3_sg148_trial000_ed1fd77fc9.cif,Co3Bi3,1,1,3,148,0,1254722502,3,3,6,356.237912,3.746493,0.197731,5.294560,5.294560,2.790000,ed1fd77fc9b3b822d4318d0fed16cdcabe993513
