chemsys,entry_id,origin,formula,spg_number,spg_symbol,strukturbericht,prototype_formula,is_unique_to_nomad
Bi-Co,GMT26ykIL_OQ7gNSc3l91_RXRtvh,AFLOW,Bi2Co6,139.0,I4/mmm,D023,Al3Zr,False
Bi-Co,GN05k3SukN1Vu1wuJnluYHkHc57a,AFLOW,Bi2Co4,63.0,Cmcm,C49,Si2Zr,False
Bi-Co,GVPRsAm5u_0_z5xBRSLsFKY9KCKt,OQMD,Bi2Co6,194.0,P6_3/mmc,D019,Ni3Sn,False
Bi-Co,GaM9sa5U17FjahsuwqsCrHozsexc,AFLOW,BiCo2,164.0,P-3m1,C6,CdI2,False
Bi-Co,Gg4ebLeu33qIk85BK-mgtvHOuqlY,AFLOW,Bi2Co6,63.0,Cmcm,,,False
Bi-Co,Gj3QV2vGc6TusFRASz4l1aR1lu_h,OQMD,BiCo3,139.0,I4/mmm,D022,Al3Ti,False
Bi-Co,GnbISymZ1zGskjF513VQx2IhDjX1,AFLOW,Bi2Co2,67.0,Cmme,,,False
Bi-Co,Gqy-qkpi-LMOMGJDHHjMD2EtlJuK,AFLOW,Bi2Co4,12.0,C2/m,,,False
Bi-Co,GsDq1bz_XX-DsPr8kdBjSIsTyqai,AFLOW,Bi2Co4,71.0,Immm,,,False
Bi-Co,GslXD9Qfp4EnwcRKfSyKKmXvXIc6,Miguel Marques,BiCo,223.0,Pm-3n,,,True
Bi-Co,H5C9e0FX2vaWoFEpZ9fb56-AonDC,AFLOW,Bi8Co16,227.0,Fd-3m,,NiTi2,False
Bi-Co,H8qK280yYFXkTgMO2tzUEzchOsqe,OQMD,BiCo3,225.0,Fm-3m,D03,BiF3,False
Bi-Co,HBmzQ7bi02U6xr7RTBG-jwUx6GYa,AFLOW,Bi2Co2,166.0,R-3m,,,False
Bi-Co,HPRjBFPQoGbp2gyPeh4nAXM-nNiZ,Kirsten Winther,BiCo3,221.0,Pm-3m,L12,AuCu3,True
Bi-Co,HQth8ZrR8jRHeUxoC3B7fyUjgzj0,AFLOW,Bi2Co4,58.0,Pnnm,,CFe2,False
Bi-Co,HYOoZDmD3NNm9zpVxlIkMTHN1Yp1,AFLOW,Bi3Co,12.0,C2/m,,,False
Bi-Co,HqaeiFTXyD9TA5ab_szsc9FTwVgt,AFLOW,Bi6Co6,166.0,R-3m,,,False
Bi-Co,HyZ3ej_KfSmRiTCIo3tl_K_TZztC,AFLOW,BiCo3,139.0,I4/mmm,D022,Al3Ti,False
Bi-Co,I4xhbAxoQqdwRw7W8C3iD-YmLrMD,AFLOW,Bi4Co8,139.0,I4/mmm,C11b,MoSi2,False
Bi-Co,I9XrOakKKf1YIbtNg_hG2Q6Xg7Iw,AFLOW,BiCo,187.0,P-6m2,,,False
Bi-Co,IDBtg7EQaQAZ9YHMZhJ4f1EluyTa,AFLOW,Bi2Co2,166.0,R-3m,,,False
Bi-Co,ILVWgaXN8oexAgcLWgsb4Z89YvYX,AFLOW,Bi2Co4,194.0,P6_3/mmc,B82,InNi2,False
Bi-Co,IQuntvgYRwFODaGrqQdKdwFO2ftp,AFLOW,BiCo,221.0,Pm-3m,B2,ClCs,False
Bi-Co,ImQdNiNw-dSUW5G0ixfNuBSi3CtB,OQMD,Bi4Co6,167.0,R-3c,D51,Al2O3,False
Bi-Co,ItPJaKKjWiNUNlDmPdcNAk6iewfU,AFLOW,Bi16Co4,217.0,I-43m,,,False
Bi-Co,IxXM1gkoI3R_4t-kT1_UqS_oamYU,AFLOW,BiCo2,191.0,P6/mmm,C32,AlB2,False
Bi-Co,JEQ5pJtVeo64wJEarCHQwjtDwesN,OQMD,BiCo,221.0,Pm-3m,B2,ClCs,False
Bi-Co,JHqxFxl0XHdI4_5teaG3z7aKlZxW,AFLOW,Bi4Co4,194.0,P6_3/mmc,,,False
Bi-Co,J_HpVxWmwhA-H1gLrmgVv-SnhouP,AFLOW,Bi4Co16,217.0,I-43m,,,False
Bi-Co,JanQlkBuU_rK944dBolXxkaecThI,AFLOW,Bi2Co,139.0,I4/mmm,C11b,MoSi2,False
Bi-Co,JdfIJ7GaUJNyDy2Pmp5EWDxYF5-B,Miguel Marques,BiCo,8.0,Cm,,,True
