chemsys,auid,compound,spacegroup_relax,pearson,enthalpy_formation_atom,enthalpy_atom,band_gap,neg_formation_energy
Bi-Co,aflow:c58be7c2b7ee1ca2,Bi2Co4,58,oP6,0.521071,-5.56382,,False
Bi-Co,aflow:c6c253c93ea2e461,Bi4Co8,205,cP12,0.928111,-5.15678,,False
Bi-Co,aflow:c8356e8c220300ba,Bi3Co1,221,cP4,0.48956,-4.3155,,False
Bi-Co,aflow:c829805c9eb64027,Bi1Co3,139,tI8,0.416399,-5.92446,,False
Bi-Co,aflow:c8f9e92b2a372bd4,Bi1Co3,221,cP4,0.443793,-5.89707,,False
Bi-Co,aflow:c9d1873a50798704,Bi3Co6,189,hP9,0.622606,-5.46229,,False
Bi-Co,aflow:caa783be6fe9ae75,Bi4Co12,62,oP16,0.431421,-5.90944,,False
Bi-Co,aflow:ca2ec0860762dfaf,Bi2Co3,164,hP5,0.205523,-5.6746,,False
Bi-Co,aflow:ca03a3f01a510e95,Bi1Co1,187,hP2,0.507903,-5.06506,,False
Bi-Co,aflow:ccf2b112f05dffca,Bi3Co1,123,tP4,0.20563,-4.59943,,False
Bi-Co,aflow:cdc16b672b64d7b8,Bi2Co2,51,oP4,0.347813,-5.22515,,False
Bi-Co,aflow:cd4f5e16ff4e1214,Bi1Co1,216,cF8,0.713291,-4.85967,,False
Bi-Co,aflow:ce417c4b7b73bc26,Bi2Co2,129,tP4,0.259284,-5.31368,,False
Bi-Co,aflow:cf37b57c01d14f7a,Bi3Co1,123,tP4,0.204689,-4.60037,,False
Bi-Co,aflow:cf5cfcdbd1b2fcf1,Bi2Co2,63,oS8,0.279222,-5.29374,,False
Bi-Co,aflow:d06b85a660fe964b,Bi3Co1,221,cP4,0.596095,-4.20896,,False
Bi-Co,aflow:d1f596b7fff81ca3,Bi6Co6,166,hR4,0.1612,-5.41176,,False
Bi-Co,aflow:d1f143aa06c00ab0,Bi1Co5,189,hP6,0.303099,-6.29373,,False
Bi-Co,aflow:d2c5dffc7f790dbc,Bi2Co1,139,tI6,0.192138,-4.86889,,False
Bi-Co,aflow:d41f83a2f6abcac5,Bi3Co1,221,cP4,0.614689,-4.19037,,False
Bi-Co,aflow:d4f98924cd4ed740,Bi3Co1,123,tP4,0.206326,-4.59873,,False
Bi-Co,aflow:d7e03d323a22d93d,Bi3Co1,123,tP4,0.215082,-4.58998,,False
Bi-Co,aflow:d8613ee01969399e,Bi5Co3,65,oS16,0.511439,-4.67757,,False
Bi-Co,aflow:d99d382bfc1d11be,Bi8Co16,194,hP24,0.435799,-5.64909,,False
Bi-Co,aflow:d91b56c196f036c8,Bi2Co2,67,oS8,0.256418,-5.31654,,False
Bi-Co,aflow:d9eddda01190c619,Bi2Co4,71,oI12,0.339021,-5.74587,,False
Bi-Co,aflow:da7aeba0a22aad28,Bi3Co1,166,hR4,0.20643,-4.59863,,False
Bi-Co,aflow:db4473e2222c2691,Bi1Co3,187,hP4,0.565767,-5.77509,,False
Bi-Co,aflow:dd0d3ee3828072f9,Bi1Co5,216,cF24,0.402995,-6.19383,,False
Bi-Co,aflow:dd633040ad6515d9,Bi12Co4,62,oP16,0.204124,-4.60094,,False
