cif_filename,formula,space_group,n_atoms,n_Co,n_Bi,min_CoCo,min_BiBi,min_CoBi,volume,volume_per_atom,packing_fraction
Co4_Bi2_m2_n1_z2_sg208_trial000_d2170691e5.cif,Co4Bi2,208,6,4,2,4.556051,5.580000,2.790000,267.491941,44.58199,0.236725
Co4_Bi2_m2_n1_z2_sg224_trial000_efdff2109c.cif,Co4Bi2,224,6,4,2,4.556051,5.580000,2.790000,267.491941,44.58199,0.236725
Co4_Bi2_m2_n1_z2_sg193_trial000_d44d7f4efa.cif,Co4Bi2,193,6,4,2,2.790000,3.121476,3.196874,126.255475,21.042579,0.501539
Co6_Bi3_m2_n1_z3_sg111_trial000_1a068d81a4.cif,Co6Bi3,111,9,6,3,2.790000,4.533553,2.826670,464.774678,51.641631,0.204364
Co6_Bi3_m2_n1_z3_sg144_trial000_dcf3eb540a.cif,Co6Bi3,144,9,6,3,2.967887,2.790000,3.209361,428.176345,47.575149,0.221832
Co4_Bi2_m2_n1_z2_sg192_trial000_e525e88664.cif,Co4Bi2,192,6,4,2,2.790000,2.954045,3.156849,119.48336,19.913893,0.529966
Co6_Bi3_m2_n1_z3_sg153_trial000_a88f5ad3c6.cif,Co6Bi3,153,9,6,3,2.979188,3.510527,2.790000,282.503112,31.389235,0.33622
Co6_Bi3_m2_n1_z3_sg155_trial000_27df0c71c1.cif,Co6Bi3,155,9,6,3,3.170231,4.683299,2.790000,305.221168,33.913463,0.311194
Co6_Bi3_m2_n1_z3_sg174_trial000_c9538cedc1.cif,Co6Bi3,174,9,6,3,3.095951,4.832422,2.790000,463.452098,51.494678,0.204947
Co6_Bi3_m2_n1_z3_sg183_trial000_8e87e8cb0f.cif,Co6Bi3,183,9,6,3,2.790000,3.533133,3.989916,463.554862,51.506096,0.204902
Co6_Bi3_m2_n1_z3_sg180_trial000_b771353592.cif,Co6Bi3,180,9,6,3,2.790000,5.722160,2.861080,474.685581,52.742842,0.200097
Co6_Bi3_m2_n1_z3_sg148_trial000_aac5051479.cif,Co6Bi3,148,9,6,3,3.235593,4.435788,2.790000,252.884114,28.098235,0.375599
Co6_Bi3_m2_n1_z3_sg191_trial000_dbddefd6c4.cif,Co6Bi3,191,9,6,3,2.962743,2.790000,2.790000,228.000447,25.333383,0.416592
